step,scheduled_sigma,churned_sigma,gamma
163,132.000000,264.000000,1.0
164,132.000000,264.000000,1.0
165,132.000000,264.000000,1.0
166,126.500000,253.000000,1.0
167,121.500000,243.000000,1.0
168,121.500000,243.000000,1.0
169,116.500000,233.000000,1.0
170,116.500000,233.000000,1.0
171,112.000000,224.000000,1.0
172,112.000000,224.000000,1.0
173,107.500000,215.000000,1.0
174,103.000000,206.000000,1.0
175,103.000000,206.000000,1.0
176,103.000000,206.000000,1.0
177,98.500000,197.000000,1.0
178,94.500000,189.000000,1.0
179,94.500000,189.000000,1.0
180,90.500000,181.000000,1.0
181,87.000000,174.000000,1.0
182,87.000000,174.000000,1.0
183,87.000000,174.000000,1.0
184,83.000000,166.000000,1.0
185,79.500000,159.000000,1.0
186,79.500000,159.000000,1.0
187,76.500000,153.000000,1.0
188,76.500000,153.000000,1.0
189,73.000000,146.000000,1.0
190,73.000000,146.000000,1.0
191,70.000000,140.000000,1.0
192,67.000000,134.000000,1.0
193,67.000000,134.000000,1.0
194,67.000000,134.000000,1.0
195,64.000000,128.000000,1.0
196,61.000000,122.000000,1.0
197,61.000000,122.000000,1.0
198,58.500000,117.000000,1.0
199,55.750000,111.500000,1.0
200,55.750000,111.500000,1.0
201,53.250000,106.500000,1.0
202,53.250000,106.500000,1.0
203,50.750000,101.500000,1.0
204,48.500000,97.000000,1.0
205,48.500000,97.000000,1.0
206,48.500000,97.000000,1.0
207,48.500000,97.000000,1.0
208,46.250000,92.500000,1.0
209,44.250000,88.500000,1.0
210,44.250000,88.500000,1.0
211,42.250000,84.500000,1.0
212,40.250000,80.500000,1.0
213,40.250000,80.500000,1.0
214,38.250000,76.500000,1.0
215,36.500000,73.000000,1.0
216,36.500000,73.000000,1.0
217,34.750000,69.500000,1.0
218,34.750000,69.500000,1.0
219,34.750000,69.500000,1.0
220,33.000000,66.000000,1.0
221,33.000000,66.000000,1.0
222,31.500000,63.000000,1.0
223,30.000000,60.000000,1.0
224,30.000000,60.000000,1.0
225,28.500000,57.000000,1.0
226,27.125000,54.250000,1.0
227,27.125000,54.250000,1.0
228,25.750000,51.500000,1.0
229,25.750000,51.500000,1.0
230,25.750000,51.500000,1.0
231,23.250000,46.500000,1.0
232,23.250000,46.500000,1.0
233,23.250000,46.500000,1.0
234,22.000000,44.000000,1.0
235,22.000000,44.000000,1.0
236,20.875000,41.750000,1.0
237,19.875000,39.750000,1.0
238,19.875000,39.750000,1.0
239,18.875000,37.750000,1.0
240,17.875000,35.750000,1.0
241,17.875000,35.750000,1.0
242,16.875000,33.750000,1.0
243,16.000000,32.000000,1.0
244,16.000000,32.000000,1.0
245,16.000000,32.000000,1.0
246,16.000000,32.000000,1.0
247,15.562500,31.125000,1.0
248,14.750000,29.500000,1.0
249,14.750000,29.500000,1.0
250,13.937500,27.875000,1.0
251,13.187500,26.375000,1.0
252,13.187500,26.375000,1.0
253,12.437500,24.875000,1.0
254,11.750000,23.500000,1.0
255,11.750000,23.500000,1.0
256,11.750000,23.500000,1.0
257,11.750000,23.500000,1.0
258,11.125000,22.250000,1.0
259,10.500000,21.000000,1.0
260,10.500000,21.000000,1.0
261,10.500000,21.000000,1.0
262,9.312500,18.625000,1.0
263,8.812500,17.625000,1.0
264,8.812500,17.625000,1.0
265,8.812500,17.625000,1.0
266,8.250000,16.500000,1.0
267,7.781250,15.562500,1.0
268,7.781250,15.562500,1.0
269,7.781250,15.562500,1.0
270,7.343750,14.687500,1.0
271,6.906250,13.812500,1.0
272,6.906250,13.812500,1.0
273,6.906250,13.812500,1.0
274,6.468750,12.937500,1.0
275,5.718750,11.437500,1.0
276,5.718750,11.437500,1.0
277,5.718750,11.437500,1.0
278,5.375000,10.750000,1.0
279,5.031250,10.062500,1.0
280,5.031250,10.062500,1.0
281,5.031250,10.062500,1.0
282,5.031250,10.062500,1.0
283,4.406250,8.812500,1.0
284,4.406250,8.812500,1.0
285,4.406250,8.812500,1.0
286,4.125000,8.250000,1.0
287,3.875000,7.750000,1.0
288,3.875000,7.750000,1.0
289,3.875000,7.750000,1.0
290,3.375000,6.750000,1.0
291,3.375000,6.750000,1.0
292,3.375000,6.750000,1.0
293,3.375000,6.750000,1.0
294,3.156250,6.312500,1.0
295,2.937500,5.875000,1.0
296,2.937500,5.875000,1.0
297,2.937500,5.875000,1.0
298,2.562500,5.125000,1.0
299,2.375000,4.750000,1.0
300,2.375000,4.750000,1.0
301,2.375000,4.750000,1.0
302,2.218750,4.437500,1.0
303,2.062500,4.125000,1.0
304,2.062500,4.125000,1.0
305,2.062500,4.125000,1.0
306,1.914062,3.828125,1.0
307,1.773438,3.546875,1.0
308,1.773438,3.546875,1.0
309,1.773438,3.546875,1.0
310,1.648438,3.296875,1.0
311,1.414062,2.828125,1.0
312,1.414062,2.828125,1.0
313,1.414062,2.828125,1.0
314,1.304688,2.609375,1.0
315,1.210938,2.421875,1.0
316,1.210938,2.421875,1.0
317,1.210938,2.421875,1.0
318,1.117188,2.234375,1.0
319,1.031250,2.062500,1.0
320,1.031250,2.062500,1.0
321,1.031250,2.062500,1.0
322,0.949219,1.898438,1.0
323,0.875000,1.750000,1.0
324,0.875000,1.750000,1.0
325,0.875000,1.750000,1.0
326,0.738281,1.476562,1.0
327,0.738281,1.476562,1.0
328,0.738281,1.476562,1.0
329,0.738281,1.476562,1.0
330,0.679688,1.359375,1.0
331,0.621094,1.242188,1.0
332,0.621094,1.242188,1.0
333,0.621094,1.242188,1.0
334,0.523438,1.046875,1.0
335,0.476562,0.953125,1.0
336,0.476562,0.953125,1.0
337,0.476562,0.953125,1.0
338,0.435547,0.871094,1.0
339,0.396484,0.792969,1.0
340,0.396484,0.792969,1.0
341,0.396484,0.792969,1.0
342,0.361328,0.722656,1.0
343,0.330078,0.660156,1.0
344,0.330078,0.660156,1.0
345,0.330078,0.660156,1.0
346,0.298828,0.597656,1.0
347,0.246094,0.492188,1.0
348,0.246094,0.492188,1.0
349,0.246094,0.492188,1.0
350,0.222656,0.445312,1.0
351,0.222656,0.445312,1.0
352,0.222656,0.445312,1.0
353,0.222656,0.445312,1.0
354,0.181641,0.363281,1.0
355,0.163086,0.326172,1.0
356,0.163086,0.326172,1.0
357,0.163086,0.326172,1.0
358,0.147461,0.294922,1.0
359,0.131836,0.263672,1.0
360,0.131836,0.263672,1.0
361,0.131836,0.263672,1.0
362,0.103027,0.206055,1.0
363,0.103027,0.206055,1.0
364,0.103027,0.206055,1.0
365,0.103027,0.206055,1.0
366,0.091797,0.183594,1.0
367,0.072754,0.145508,1.0
368,0.072754,0.145508,1.0
369,0.072754,0.145508,1.0
370,0.064453,0.128906,1.0
371,0.057373,0.114746,1.0
372,0.057373,0.114746,1.0
373,0.057373,0.114746,1.0
374,0.050537,0.101074,1.0
375,0.044678,0.089355,1.0
376,0.044678,0.089355,1.0
377,0.044678,0.089355,1.0
378,0.039307,0.078613,1.0
379,0.034424,0.068848,1.0
380,0.034424,0.068848,1.0
381,0.034424,0.068848,1.0
382,0.030273,0.060547,1.0
383,0.022949,0.045898,1.0
384,0.022949,0.045898,1.0
385,0.022949,0.045898,1.0
386,0.020020,0.040039,1.0
387,0.020020,0.040039,1.0
388,0.020020,0.040039,1.0
389,0.020020,0.040039,1.0
390,0.014954,0.029907,1.0
391,0.012878,0.025757,1.0
392,0.012878,0.025757,1.0
393,0.012878,0.025757,1.0
394,0.011047,0.011047,0.0
395,0.009460,0.009460,0.0
396,0.009460,0.009460,0.0
397,0.009460,0.009460,0.0
398,0.006836,0.006836,0.0
399,0.006836,0.006836,0.0
